company,name,year,kms_driven,price,fuel_type,unnamed: 6
Yamaha,Freego,2021,20000,15200000,bensin,
Yamaha,Vixion,2016,5000,8950000,bensin,
Honda,Vario,2014,45000,10000000,bensin,
Honda,Scoopy,2021,40000,16800000,bensin,
Yamaha,RX,1986,300000,7999999,bensin,
Honda,Scoopy,2018,35000,14000000,bensin,
Honda,Scoopy,2018,35000,14000000,bensin,
Yamaha,MT 25,2019,5000,45500000,bensin,
Yamaha,MT 25,2019,5000,45500000,bensin,
Kawasaki,Ninja 250,2018,5000,47500000,bensin,
Honda,Beat,2018,70000,13900000,bensin,
Honda,PCX,2020,25000,29700000,bensin,
Honda,Scoopy,2020,30000,18500000,bensin,
Honda,Beat,2017,30000,12500000,bensin,
Honda,Supra,2011,25000,9250000,bensin,
Honda,Supra,2011,20000,9250000,bensin,
Yamaha,Vixion,2015,60000,11000000,bensin,
Honda,CBR,2019,10000,24500000,bensin,
Honda,Vario,2021,20000,19250000,bensin,
Honda,Vario,2021,20000,19250000,bensin,
Honda,Beat,2021,20000,16700000,bensin,
Kawasaki,ZX,2023,5000,385000000,bensin,
Honda,CB 150R,2016,5000,16500000,bensin,
Honda,CB 150R,2016,5000,16500000,bensin,
Honda,CBR,2016,15000,16500000,bensin,
Yamaha,Mio,2022,5000,14500000,bensin,
Yamaha,Mio,2018,5000,10900000,bensin,
Honda,Tiger,2012,5000,31000000,bensin,
Honda,Beat,2021,20000,16500000,bensin,
Yamaha,NMAX,2023,5000,31300000,bensin,
Honda,Vario,2017,70000,14500000,bensin,
Honda,CRF250Rally,2023,5000,32899000,bensin,
Yamaha,NMAX,2021,25000,27000000,bensin,
Honda,CB 150R,2015,80000,4500000,bensin,
Yamaha,NMAX,2021,45000,25500000,bensin,
Honda,Vario,2020,30000,20000000,bensin,
Honda,Vario,2020,30000,20000000,bensin,
Honda,Vario,2020,30000,20000000,bensin,
Yamaha,Aerox,2017,20000,20000000,bensin,
Yamaha,Aerox,2017,20000,20000000,bensin,
Honda,Vario,2020,30000,20000000,bensin,
Honda,Vario,2020,30000,20000000,bensin,
Honda,Vario,2020,30000,20000000,bensin,
Honda,PCX,2019,20000,28500000,bensin,
Honda,Scoopy,2020,20000,18500000,bensin,
Honda,Scoopy,2020,20000,18500000,bensin,
Honda,Supra,2016,20000,10500000,bensin,
Kawasaki,Ninja 250,2022,10000,59000000,bensin,
Kawasaki,Ninja 250,2022,10000,59000000,bensin,
Honda,Scoopy,2020,20000,18500000,bensin,
Honda,Scoopy,2020,20000,18500000,bensin,
Honda,Scoopy,2020,20000,18500000,bensin,
Honda,Scoopy,2020,20000,18500000,bensin,
Honda,Vario,2014,30000,12500000,bensin,
Kawasaki,Ninja 250,2020,25000,42000000,bensin,
Honda,Vario,2014,30000,12500000,bensin,
Honda,Vario,2014,30000,12500000,bensin,
Honda,Vario,2014,30000,12500000,bensin,
Honda,Vario,2014,30000,12500000,bensin,
Honda,Vario,2014,30000,12500000,bensin,
Yamaha,Aerox,2019,5000,28500000,bensin,
Honda,Beat,2017,5000,13500000,bensin,
Honda,Forza,2019,10000,74000000,bensin,
Honda,PCX,2019,30000,23000000,bensin,
Honda,Vario,2014,30000,11500000,bensin,
Yamaha,NMAX,2021,10000,29000000,bensin,
Yamaha,Mio,2016,55000,8250000,bensin,
Yamaha,NMAX,2021,10000,29000000,bensin,
Yamaha,Soul GT,2016,25000,10500000,bensin,
Honda,Vario,2015,30000,10200000,bensin,
Yamaha,Freego,2021,20000,15200000,bensin,
Yamaha,Vixion,2013,15000,10850000,bensin,
Yamaha,YZF R15,2022,5000,36000000,bensin,
Kawasaki,Ninja,2013,5000,50500000,bensin,
Honda,Beat,2015,55000,10850000,bensin,
Kawasaki,ZX,1999,30000,55000000,bensin,
Yamaha,YZF R25,2016,35000,33800000,bensin,
Kawasaki,Ninja 250,2018,20000,48000000,bensin,
Kawasaki,Ninja 250,2022,5000,28500000,bensin,
Kawasaki,Ninja 250,2020,5000,28500000,bensin,
Honda,Vario,2011,25000,8350000,bensin,
Kawasaki,Ninja 250,2020,5000,28500000,bensin,
Kawasaki,Ninja 250,2018,10000,43000000,bensin,
Honda,Scoopy,2021,15000,17750000,bensin,
Honda,CBR,2023,5000,61000000,bensin,
Honda,CBR,2023,5000,61000000,bensin,
Honda,CBR,2023,5000,61000000,bensin,
Honda,CRF250Rally,2023,10000,31420000,bensin,
Honda,Vario,2020,5000,19700000,bensin,
Honda,CB 150R,2021,30000,24500000,bensin,
Honda,CB 150R,2021,30000,24500000,bensin,
Honda,CB 150R,2021,30000,24500000,bensin,
Kawasaki,Ninja 250,2020,5000,28500000,bensin,
Honda,Vario,2018,25000,16800000,bensin,
Honda,Vario,2018,20000,16800000,bensin,
Yamaha,YZF R15,2015,25000,13250000,bensin,
Kawasaki,Z Series,2022,5000,410000000,bensin,
Yamaha,NMAX,2019,15000,23000000,bensin,
Honda,Beat,2018,40000,12400000,bensin,
Honda,Beat,2023,5000,18200000,bensin,
Honda,Scoopy,2023,5000,20700000,bensin,
Yamaha,Mio,2014,85000,7600000,bensin,
Honda,Supra,2016,25000,11800000,bensin,
Honda,Beat,2019,15000,13000000,bensin,
Honda,Beat,2021,15000,14800000,bensin,
Yamaha,Fino,2024,5000,26500000,bensin,
Yamaha,Mio,2021,15000,16000000,bensin,
Honda,CB 150R,2016,5000,16500000,bensin,
Kawasaki,Ninja 250,2016,5000,33900000,bensin,
Yamaha,Byson,2012,5000,19000000,bensin,
Yamaha,Xeon,2015,60000,9250000,bensin,
Yamaha,Xeon,2014,80000,9000000,bensin,
Yamaha,Xeon,2014,100000,8500000,bensin,
Yamaha,Xeon,2013,100000,8200000,bensin,
Yamaha,Xeon,2014,80000,8550000,bensin,
Kawasaki,W800,2021,5000,27900000,bensin,
Kawasaki,Z Series,2017,35000,35000000,bensin,
Kawasaki,Z Series,2013,50000,22500000,bensin,
Honda,CB,2022,25000,27000000,bensin,
Yamaha,WR 250,2020,25000,26500000,bensin,
Kawasaki,Ninja ER-6N,2013,20000,64500000,bensin,
Yamaha,Vixion,2014,5000,10000000,bensin,
Benelli,BN,2017,20000,29500000,bensin,
Honda,Beat,2018,5000,15400000,bensin,
Suzuki,Shogun,2002,105000,4000000,bensin,
Yamaha,Fino,2023,5000,21800000,bensin,
Kawasaki,Z Series,2015,15000,30000000,bensin,
Honda,Vario,2016,5000,17700000,bensin,
Honda,Vario,2022,20000,22700000,bensin,
Honda,Beat,2009,25000,6800000,bensin,
Honda,Supra,2016,20000,10400000,bensin,
Honda,Scoopy,2016,5000,13800000,bensin,
Yamaha,YZF R15,2014,5000,16500000,bensin,
Honda,Supra,2004,55000,5000000,bensin,
Honda,Beat,2013,5000,9500000,bensin,
Honda,Vario,2022,10000,26500000,bensin,
Kawasaki,Ninja 250,2022,10000,59000000,bensin,
Honda,Vario,2017,85000,13750000,bensin,
Honda,Vario,2020,20000,17950000,bensin,
Honda,Beat,2022,10000,17800000,bensin,
Honda,Vario,2015,5000,12500000,bensin,
Honda,CBR,2023,5000,33500000,bensin,
Yamaha,YZF R15,2015,5000,17000000,bensin,
Honda,Forza,2019,10000,74000000,bensin,
Honda,Vario,2014,25000,11500000,bensin,
Yamaha,NMAX,2021,10000,29000000,bensin,
Yamaha,Freego,2019,20000,16500000,bensin,
Yamaha,Fino,2022,20000,19000000,bensin,
Honda,Vario,2020,55000,19500000,bensin,
Honda,Beat,2014,50000,8000000,bensin,
Honda,Beat,2015,35000,10000000,bensin,
Honda,Supra,2017,20000,11800000,bensin,
Honda,PCX,2019,20000,26500000,bensin,
Yamaha,Mio,2009,100000,4900000,bensin,
Honda,Revo,2020,15000,10000000,bensin,
Honda,CBR,2017,25000,39500000,bensin,
Kawasaki,ZX,2021,20000,99500000,bensin,
Suzuki,Satria,2013,25000,7450000,bensin,
Yamaha,NMAX,2021,25000,27500000,bensin,
Honda,PCX,2021,5000,28000000,bensin,
Yamaha,MT 25,2019,5000,45500000,bensin,
Honda,CBR,2022,5000,61000000,bensin,
Suzuki,GSX,2018,5000,19800000,bensin,
Kawasaki,Ninja 250,2020,5000,28500000,bensin,
Honda,Scoopy,2021,15000,17750000,bensin,
Honda,Scoopy,2021,10000,17750000,bensin,
Honda,Supra,2022,15000,20500000,bensin,
Yamaha,Xmax,2022,15000,32000000,bensin,
Honda,PCX,2020,5000,25500000,bensin,
Honda,Vario,2022,5000,19800000,bensin,
Kawasaki,Ninja 250,2020,5000,28500000,bensin,
Yamaha,Jupiter,2001,40000,4000000,bensin,
Honda,Beat,2022,20000,15850000,bensin,
Honda,Beat,2019,300000,11000000,bensin,
Honda,Beat,2019,55000,13500000,bensin,
